Superlattice vectors (celldm1 units):
-0.500000 6.062178 0.000000
-5.500000 2.598076 0.000000
Layer 1 points (Angstrom):
S1 -17.138000 6.296582 4.344408
S2 -17.138000 6.296582 7.434640
S1 -18.696000 8.995117 4.344408
S2 -18.696000 8.995117 7.434640
S1 -12.464000 3.598047 4.344408
S2 -12.464000 3.598047 7.434640
S1 -14.022000 6.296582 4.344408
S2 -14.022000 6.296582 7.434640
Mo -15.580000 5.397070 5.889524
S1 -15.580000 8.995117 4.344408
S2 -15.580000 8.995117 7.434640
Mo -17.138000 8.095605 5.889524
S1 -17.138000 11.693652 4.344408
S2 -17.138000 11.693652 7.434640
Mo -18.696000 10.794141 5.889524
S1 -18.696000 14.392187 4.344408
S2 -18.696000 14.392187 7.434640
Mo -20.254000 13.492676 5.889524
S1 -20.254000 17.090723 4.344408
S2 -20.254000 17.090723 7.434640
S1 -7.790000 0.899512 4.344408
S2 -7.790000 0.899512 7.434640
S1 -9.348000 3.598047 4.344408
S2 -9.348000 3.598047 7.434640
Mo -10.906000 2.698535 5.889524
S1 -10.906000 6.296582 4.344408
S2 -10.906000 6.296582 7.434640
Mo -12.464000 5.397070 5.889524
S1 -12.464000 8.995117 4.344408
S2 -12.464000 8.995117 7.434640
Mo -14.022000 8.095605 5.889524
S1 -14.022000 11.693652 4.344408
S2 -14.022000 11.693652 7.434640
Mo -15.580000 10.794141 5.889524
S1 -15.580000 14.392187 4.344408
S2 -15.580000 14.392187 7.434640
Mo -17.138000 13.492676 5.889524
S1 -17.138000 17.090723 4.344408
S2 -17.138000 17.090723 7.434640
Mo -18.696000 16.191211 5.889524
S1 -18.696000 19.789258 4.344408
S2 -18.696000 19.789258 7.434640
Mo -20.254000 18.889746 5.889524
S1 -20.254000 22.487793 4.344408
S2 -20.254000 22.487793 7.434640
S1 -4.674000 0.899512 4.344408
S2 -4.674000 0.899512 7.434640
Mo -6.232000 0.000000 5.889524
S1 -6.232000 3.598047 4.344408
S2 -6.232000 3.598047 7.434640
Mo -7.790000 2.698535 5.889524
S1 -7.790000 6.296582 4.344408
S2 -7.790000 6.296582 7.434640
Mo -9.348000 5.397070 5.889524
S1 -9.348000 8.995117 4.344408
S2 -9.348000 8.995117 7.434640
Mo -10.906000 8.095605 5.889524
S1 -10.906000 11.693652 4.344408
S2 -10.906000 11.693652 7.434640
Mo -12.464000 10.794141 5.889524
S1 -12.464000 14.392187 4.344408
S2 -12.464000 14.392187 7.434640
Mo -14.022000 13.492676 5.889524
S1 -14.022000 17.090723 4.344408
S2 -14.022000 17.090723 7.434640
Mo -15.580000 16.191211 5.889524
S1 -15.580000 19.789258 4.344408
S2 -15.580000 19.789258 7.434640
Mo -17.138000 18.889746 5.889524
S1 -17.138000 22.487793 4.344408
S2 -17.138000 22.487793 7.434640
Mo -18.696000 21.588281 5.889524
Mo -20.254000 24.286816 5.889524
Mo -3.116000 0.000000 5.889524
S1 -3.116000 3.598047 4.344408
S2 -3.116000 3.598047 7.434640
Mo -4.674000 2.698535 5.889524
S1 -4.674000 6.296582 4.344408
S2 -4.674000 6.296582 7.434640
Mo -6.232000 5.397070 5.889524
S1 -6.232000 8.995117 4.344408
S2 -6.232000 8.995117 7.434640
Mo -7.790000 8.095605 5.889524
