Superlattice vectors (celldm1_l units):
-0.50000000000 7.79422860000 0.00000000000
-7.00000000000 3.46410160000 0.00000000000
Layer 1 points (Angstrom):
S1 -21.81200000000 8.99511715107 4.34440811000
S2 -21.81200000000 8.99511715107 7.43463952000
S1 -23.37000000000 11.69365229747 4.34440811000
S2 -23.37000000000 11.69365229747 7.43463952000
S1 -17.13800000000 6.29658200467 4.34440811000
S2 -17.13800000000 6.29658200467 7.43463952000
S1 -18.69600000000 8.99511715107 4.34440811000
S2 -18.69600000000 8.99511715107 7.43463952000
Mo -20.25400000000 8.09560543920 5.88952381500
S1 -20.25400000000 11.69365229747 4.34440811000
S2 -20.25400000000 11.69365229747 7.43463952000
Mo -21.81200000000 10.79414058560 5.88952381500
S1 -21.81200000000 14.39218744387 4.34440811000
S2 -21.81200000000 14.39218744387 7.43463952000
Mo -23.37000000000 13.49267573200 5.88952381500
S1 -23.37000000000 17.09072259027 4.34440811000
S2 -23.37000000000 17.09072259027 7.43463952000
S1 -24.92800000000 19.78925773667 4.34440811000
S2 -24.92800000000 19.78925773667 7.43463952000
S1 -12.46400000000 3.59804685827 4.34440811000
S2 -12.46400000000 3.59804685827 7.43463952000
S1 -14.02200000000 6.29658200467 4.34440811000
S2 -14.02200000000 6.29658200467 7.43463952000
Mo -15.58000000000 5.39707029280 5.88952381500
S1 -15.58000000000 8.99511715107 4.34440811000
S2 -15.58000000000 8.99511715107 7.43463952000
Mo -17.13800000000 8.09560543920 5.88952381500
S1 -17.13800000000 11.69365229747 4.34440811000
S2 -17.13800000000 11.69365229747 7.43463952000
Mo -18.69600000000 10.79414058560 5.88952381500
S1 -18.69600000000 14.39218744387 4.34440811000
S2 -18.69600000000 14.39218744387 7.43463952000
Mo -20.25400000000 13.49267573200 5.88952381500
S1 -20.25400000000 17.09072259027 4.34440811000
S2 -20.25400000000 17.09072259027 7.43463952000
Mo -21.81200000000 16.19121087840 5.88952381500
S1 -21.81200000000 19.78925773667 4.34440811000
S2 -21.81200000000 19.78925773667 7.43463952000
Mo -23.37000000000 18.88974602480 5.88952381500
S1 -23.37000000000 22.48779288307 4.34440811000
S2 -23.37000000000 22.48779288307 7.43463952000
Mo -24.92800000000 21.58828117120 5.88952381500
S1 -24.92800000000 25.18632802947 4.34440811000
S2 -24.92800000000 25.18632802947 7.43463952000
S1 -7.79000000000 0.89951171187 4.34440811000
S2 -7.79000000000 0.89951171187 7.43463952000
S1 -9.34800000000 3.59804685827 4.34440811000
S2 -9.34800000000 3.59804685827 7.43463952000
Mo -10.90600000000 2.69853514640 5.88952381500
S1 -10.90600000000 6.29658200467 4.34440811000
S2 -10.90600000000 6.29658200467 7.43463952000
Mo -12.46400000000 5.39707029280 5.88952381500
S1 -12.46400000000 8.99511715107 4.34440811000
S2 -12.46400000000 8.99511715107 7.43463952000
Mo -14.02200000000 8.09560543920 5.88952381500
S1 -14.02200000000 11.69365229747 4.34440811000
S2 -14.02200000000 11.69365229747 7.43463952000
Mo -15.58000000000 10.79414058560 5.88952381500
S1 -15.58000000000 14.39218744387 4.34440811000
S2 -15.58000000000 14.39218744387 7.43463952000
Mo -17.13800000000 13.49267573200 5.88952381500
S1 -17.13800000000 17.09072259027 4.34440811000
