Superlattice vectors (celldm1_l units):
-0.50000000000 11.25833020000 0.00000000000
-10.00000000000 5.19615240000 0.00000000000
Layer 1 points (Angstrom):
S1 -31.16000000000 14.39218744387 4.34440811000
S2 -31.16000000000 14.39218744387 7.43463952000
S1 -32.71800000000 17.09072259027 4.34440811000
S2 -32.71800000000 17.09072259027 7.43463952000
S1 -26.48600000000 11.69365229747 4.34440811000
S2 -26.48600000000 11.69365229747 7.43463952000
S1 -28.04400000000 14.39218744387 4.34440811000
S2 -28.04400000000 14.39218744387 7.43463952000
Mo -29.60200000000 13.49267573200 5.88952381500
S1 -29.60200000000 17.09072259027 4.34440811000
S2 -29.60200000000 17.09072259027 7.43463952000
Mo -31.16000000000 16.19121087840 5.88952381500
S1 -31.16000000000 19.78925773667 4.34440811000
S2 -31.16000000000 19.78925773667 7.43463952000
Mo -32.71800000000 18.88974602480 5.88952381500
S1 -32.71800000000 22.48779288307 4.34440811000
S2 -32.71800000000 22.48779288307 7.43463952000
S1 -21.81200000000 8.99511715107 4.34440811000
S2 -21.81200000000 8.99511715107 7.43463952000
S1 -23.37000000000 11.69365229747 4.34440811000
S2 -23.37000000000 11.69365229747 7.43463952000
Mo -24.92800000000 10.79414058560 5.88952381500
S1 -24.92800000000 14.39218744387 4.34440811000
S2 -24.92800000000 14.39218744387 7.43463952000
Mo -26.48600000000 13.49267573200 5.88952381500
S1 -26.48600000000 17.09072259027 4.34440811000
S2 -26.48600000000 17.09072259027 7.43463952000
Mo -28.04400000000 16.19121087840 5.88952381500
S1 -28.04400000000 19.78925773667 4.34440811000
S2 -28.04400000000 19.78925773667 7.43463952000
Mo -29.60200000000 18.88974602480 5.88952381500
S1 -29.60200000000 22.48779288307 4.34440811000
S2 -29.60200000000 22.48779288307 7.43463952000
Mo -31.16000000000 21.58828117120 5.88952381500
S1 -31.16000000000 25.18632802947 4.34440811000
S2 -31.16000000000 25.18632802947 7.43463952000
Mo -32.71800000000 24.28681631760 5.88952381500
S1 -32.71800000000 27.88486317587 4.34440811000
S2 -32.71800000000 27.88486317587 7.43463952000
Mo -34.27600000000 26.98535146400 5.88952381500
S1 -34.27600000000 30.58339832227 4.34440811000
S2 -34.27600000000 30.58339832227 7.43463952000
S1 -17.13800000000 6.29658200467 4.34440811000
S2 -17.13800000000 6.29658200467 7.43463952000
S1 -18.69600000000 8.99511715107 4.34440811000
S2 -18.69600000000 8.99511715107 7.43463952000
Mo -20.25400000000 8.09560543920 5.88952381500
S1 -20.25400000000 11.69365229747 4.34440811000
S2 -20.25400000000 11.69365229747 7.43463952000
Mo -21.81200000000 10.79414058560 5.88952381500
S1 -21.81200000000 14.39218744387 4.34440811000
S2 -21.81200000000 14.39218744387 7.43463952000
Mo -23.37000000000 13.49267573200 5.88952381500
S1 -23.37000000000 17.09072259027 4.34440811000
S2 -23.37000000000 17.09072259027 7.43463952000
Mo -24.92800000000 16.19121087840 5.88952381500
S1 -24.92800000000 19.78925773667 4.34440811000
S2 -24.92800000000 19.78925773667 7.43463952000
Mo -26.48600000000 18.88974602480 5.88952381500
S1 -26.48600000000 22.48779288307 4.34440811000
S2 -26.48600000000 22.48779288307 7.43463952000
Mo -28.04400000000 21.58828117120 5.88952381500
S1 -28.04400000000 25.18632802947 4.34440811000
S2 -28.04400000000 25.18632802947 7.43463952000
Mo -29.60200000000 24.28681631760 5.88952381500
S1 -29.60200000000 27.88486317587 4.34440811000
S2 -29.60200000000 27.88486317587 7.43463952000
Mo -31.16000000000 26.98535146400 5.88952381500
S1 -31.16000000000 30.58339832227 4.34440811000
S2 -31.16000000000 30.58339832227 7.43463952000
Mo -32.71800000000 29.68388661040 5.88952381500
S1 -32.71800000000 33.28193346867 4.34440811000
S2 -32.71800000000 33.28193346867 7.43463952000
Mo -34.27600000000 32.38242175680 5.88952381500
S1 -34.27600000000 35.98046861507 4.34440811000
S2 -34.27600000000 35.98046861507 7.43463952000
S1 -12.46400000000 3.59804685827 4.34440811000
S2 -12.46400000000 3.59804685827 7.43463952000
S1 -14.02200000000 6.29658200467 4.34440811000
S2 -14.02200000000 6.29658200467 7.43463952000
Mo -15.58000000000 5.39707029280 5.88952381500
S1 -15.58000000000 8.99511715107 4.34440811000
S2 -15.58000000000 8.99511715107 7.43463952000
Mo -17.13800000000 8.09560543920 5.88952381500
S1 -17.13800000000 11.69365229747 4.34440811000
S2 -17.13800000000 11.69365229747 7.43463952000
Mo -18.69600000000 10.79414058560 5.88952381500
S1 -18.69600000000 14.39218744387 4.34440811000
S2 -18.69600000000 14.39218744387 7.43463952000
Mo -20.25400000000 13.49267573200 5.88952381500
S1 -20.25400000000 17.09072259027 4.34440811000
S2 -20.25400000000 17.09072259027 7.43463952000
Mo -21.81200000000 16.19121087840 5.88952381500
S1 -21.81200000000 19.78925773667 4.34440811000
S2 -21.81200000000 19.78925773667 7.43463952000
Mo -23.37000000000 18.88974602480 5.88952381500
S1 -23.37000000000 22.48779288307 4.34440811000
S2 -23.37000000000 22.48779288307 7.43463952000
Mo -24.92800000000 21.58828117120 5.88952381500
S1 -24.92800000000 25.18632802947 4.34440811000
S2 -24.92800000000 25.18632802947 7.43463952000
Mo -26.48600000000 24.28681631760 5.88952381500
S1 -26.48600000000 27.88486317587 4.34440811000
S2 -26.48600000000 27.88486317587 7.43463952000
Mo -28.04400000000 26.98535146400 5.88952381500
S1 -28.04400000000 30.58339832227 4.34440811000
S2 -28.04400000000 30.58339832227 7.43463952000
Mo -29.60200000000 29.68388661040 5.88952381500
S1 -29.60200000000 33.28193346867 4.34440811000
S2 -29.60200000000 33.28193346867 7.43463952000
Mo -31.16000000000 32.38242175680 5.88952381500
S1 -31.16000000000 35.98046861507 4.34440811000
S2 -31.16000000000 35.98046861507 7.43463952000
Mo -32.71800000000 35.08095690320 5.88952381500
S1 -32.71800000000 38.67900376147 4.34440811000
S2 -32.71800000000 38.67900376147 7.43463952000
Mo -34.27600000000 37.77949204960 5.88952381500
S1 -34.27600000000 41.37753890787 4.34440811000
S2 -34.27600000000 41.37753890787 7.43463952000
S1 -9.34800000000 3.59804685827 4.34440811000
S2 -9.34800000000 3.59804685827 7.43463952000
Mo -10.90600000000 2.69853514640 5.88952381500
S1 -10.90600000000 6.29658200467 4.34440811000
S2 -10.90600000000 6.29658200467 7.43463952000
Mo -12.46400000000 5.39707029280 5.88952381500
S1 -12.46400000000 8.99511715107 4.34440811000
S2 -12.46400000000 8.99511715107 7.43463952000
Mo -14.02200000000 8.09560543920 5.88952381500
S1 -14.02200000000 11.69365229747 4.34440811000
S2 -14.02200000000 11.69365229747 7.43463952000
Mo -15.58000000000 10.79414058560 5.88952381500
S1 -15.58000000000 14.39218744387 4.34440811000
S2 -15.58000000000 14.39218744387 7.43463952000
Mo -17.13800000000 13.49267573200 5.88952381500
S1 -17.13800000000 17.09072259027 4.34440811000
S2 -17.13800000000 17.09072259027 7.43463952000
Mo -18.69600000000 16.19121087840 5.88952381500
S1 -18.69600000000 19.78925773667 4.34440811000
S2 -18.69600000000 19.78925773667 7.43463952000
Mo -20.25400000000 18.88974602480 5.88952381500
S1 -20.25400000000 22.48779288307 4.34440811000
S2 -20.25400000000 22.48779288307 7.43463952000
Mo -21.81200000000 21.58828117120 5.88952381500
S1 -21.81200000000 25.18632802947 4.34440811000
S2 -21.81200000000 25.18632802947 7.43463952000
Mo -23.37000000000 24.28681631760 5.88952381500
S1 -23.37000000000 27.88486317587 4.34440811000
S2 -23.37000000000 27.88486317587 7.43463952000
