Superlattice vectors (celldm1 units):
-0.500000 11.258330 0.000000
-10.000000 5.196152 0.000000
Layer 1 points (Angstrom):
C -24.600000 11.362253 0.000000
C -25.830000 13.492676 0.000000
C -20.910000 9.231831 0.000000
C -22.140000 11.362253 0.000000
C -23.370000 10.652112 0.000000
C -23.370000 13.492676 0.000000
C -24.600000 12.782535 0.000000
C -24.600000 15.623098 0.000000
C -25.830000 14.912957 0.000000
C -25.830000 17.753521 0.000000
C -17.220000 7.101408 0.000000
C -18.450000 9.231831 0.000000
C -19.680000 8.521690 0.000000
C -19.680000 11.362253 0.000000
C -20.910000 10.652112 0.000000
C -20.910000 13.492676 0.000000
C -22.140000 12.782535 0.000000
C -22.140000 15.623098 0.000000
C -23.370000 14.912957 0.000000
C -23.370000 17.753521 0.000000
C -24.600000 17.043380 0.000000
C -24.600000 19.883943 0.000000
C -25.830000 19.173802 0.000000
C -25.830000 22.014366 0.000000
C -27.060000 21.304225 0.000000
C -27.060000 24.144788 0.000000
C -13.530000 4.970986 0.000000
C -14.760000 7.101408 0.000000
C -15.990000 6.391267 0.000000
C -15.990000 9.231831 0.000000
C -17.220000 8.521690 0.000000
C -17.220000 11.362253 0.000000
C -18.450000 10.652112 0.000000
C -18.450000 13.492676 0.000000
C -19.680000 12.782535 0.000000
C -19.680000 15.623098 0.000000
C -20.910000 14.912957 0.000000
C -20.910000 17.753521 0.000000
C -22.140000 17.043380 0.000000
C -22.140000 19.883943 0.000000
C -23.370000 19.173802 0.000000
C -23.370000 22.014366 0.000000
C -24.600000 21.304225 0.000000
C -24.600000 24.144788 0.000000
C -25.830000 23.434647 0.000000
C -25.830000 26.275211 0.000000
C -27.060000 25.565070 0.000000
C -27.060000 28.405633 0.000000
C -9.840000 2.840563 0.000000
C -11.070000 4.970986 0.000000
C -12.300000 4.260845 0.000000
C -12.300000 7.101408 0.000000
C -13.530000 6.391267 0.000000
C -13.530000 9.231831 0.000000
C -14.760000 8.521690 0.000000
C -14.760000 11.362253 0.000000
C -15.990000 10.652112 0.000000
C -15.990000 13.492676 0.000000
C -17.220000 12.782535 0.000000
C -17.220000 15.623098 0.000000
C -18.450000 14.912957 0.000000
C -18.450000 17.753521 0.000000
C -19.680000 17.043380 0.000000
C -19.680000 19.883943 0.000000
C -20.910000 19.173802 0.000000
C -20.910000 22.014366 0.000000
C -22.140000 21.304225 0.000000
C -22.140000 24.144788 0.000000
C -23.370000 23.434647 0.000000
C -23.370000 26.275211 0.000000
C -24.600000 25.565070 0.000000
C -24.600000 28.405633 0.000000
C -25.830000 27.695492 0.000000
C -25.830000 30.536056 0.000000
C -27.060000 29.825915 0.000000
C -27.060000 32.666478 0.000000
C -7.380000 2.840563 0.000000
C -8.610000 2.130422 0.000000
C -8.610000 4.970986 0.000000
C -9.840000 4.260845 0.000000
C -9.840000 7.101408 0.000000
C -11.070000 6.391267 0.000000
C -11.070000 9.231831 0.000000
C -12.300000 8.521690 0.000000
C -12.300000 11.362253 0.000000
C -13.530000 10.652112 0.000000
C -13.530000 13.492676 0.000000
C -14.760000 12.782535 0.000000
C -14.760000 15.623098 0.000000
C -15.990000 14.912957 0.000000
C -15.990000 17.753521 0.000000
C -17.220000 17.043380 0.000000
C -17.220000 19.883943 0.000000
C -18.450000 19.173802 0.000000
